_id,year,pf_id,facility,pollutant,tons_per_yr,ghg,hap,criteria,sulfur,current,lat,lon
27,2010.0,737248.0,Universal Stainless & Alloy Products,Sulfur Oxides,13.57,0,0,1,0,1,40.365268,-80.097299
28,2010.0,737248.0,Universal Stainless & Alloy Products,Volatile Organic Compounds,27.74,0,0,1,0,1,40.365268,-80.097299
29,2010.0,737249.0,University of Pittsburgh Main Campus,Carbon Monoxide,5.05,0,0,1,0,1,40.44278,-79.95944
30,2010.0,737249.0,University of Pittsburgh Main Campus,Glycol Ethers,0.0,0,1,0,0,1,40.44278,-79.95944
31,2010.0,737249.0,University of Pittsburgh Main Campus,Hexane,0.13,0,1,0,0,1,40.44278,-79.95944
32,2010.0,737249.0,University of Pittsburgh Main Campus,Methanol,0.03,0,1,0,0,1,40.44278,-79.95944
33,2010.0,737249.0,University of Pittsburgh Main Campus,Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),0.0,0,1,0,0,1,40.44278,-79.95944
34,2010.0,737249.0,University of Pittsburgh Main Campus,Nitrogen Oxides,6.78,0,0,1,0,1,40.44278,-79.95944
35,2010.0,737249.0,University of Pittsburgh Main Campus,"Particulate Matter < 10 Microns, Filterable",0.21,0,0,1,0,1,40.44278,-79.95944
36,2010.0,737249.0,University of Pittsburgh Main Campus,"Particulate Matter < 2.5 Microns, Filterable",0.21,0,0,1,0,1,40.44278,-79.95944
37,2010.0,737249.0,University of Pittsburgh Main Campus,Sulfur Oxides,0.22,0,0,1,0,1,40.44278,-79.95944
38,2010.0,737249.0,University of Pittsburgh Main Campus,Toluene,0.07,0,1,0,0,1,40.44278,-79.95944
39,2010.0,737249.0,University of Pittsburgh Main Campus,Volatile Organic Compounds,3.88,0,0,1,0,1,40.44278,-79.95944
40,2010.0,737249.0,University of Pittsburgh Main Campus,Xylenes (Isomers And Mixture),0.02,0,1,0,0,1,40.44278,-79.95944
41,2010.0,737250.0,Basic Carbide Corporation,Ammonia,0.0,0,0,1,0,1,40.2615,-79.7955
42,2010.0,737250.0,Basic Carbide Corporation,Carbon Monoxide,0.09,0,0,1,0,1,40.2615,-79.7955
43,2010.0,737250.0,Basic Carbide Corporation,Cobalt,0.01,0,1,0,0,1,40.2615,-79.7955
44,2010.0,737250.0,Basic Carbide Corporation,Hexane,0.0,0,1,0,0,1,40.2615,-79.7955
45,2010.0,737250.0,Basic Carbide Corporation,Nitrogen Oxides,0.1,0,0,1,0,1,40.2615,-79.7955
46,2010.0,737250.0,Basic Carbide Corporation,"Particulate Matter < 10 Microns, Filterable",0.19,0,0,1,0,1,40.2615,-79.7955
47,2010.0,737250.0,Basic Carbide Corporation,"Particulate Matter < 2.5 Microns, Filterable",0.02,0,0,1,0,1,40.2615,-79.7955
48,2010.0,737250.0,Basic Carbide Corporation,Sulfur Oxides,0.0,0,0,1,0,1,40.2615,-79.7955
49,2010.0,737250.0,Basic Carbide Corporation,Volatile Organic Compounds,16.91,0,0,1,0,1,40.2615,-79.7955
50,2010.0,737251.0,Neville Chemical Company,"1,3-Butadiene",0.0,0,1,0,0,1,40.503449,-80.099378
51,2010.0,737251.0,Neville Chemical Company,Ammonia,1.45,0,0,1,0,1,40.503449,-80.099378
52,2010.0,737251.0,Neville Chemical Company,Benzene,0.33,0,1,0,0,1,40.503449,-80.099378
53,2010.0,737251.0,Neville Chemical Company,Carbon Disulfide,0.0,0,1,0,0,1,40.503449,-80.099378
54,2010.0,737251.0,Neville Chemical Company,Carbon Monoxide,12.98,0,0,1,0,1,40.503449,-80.099378
55,2010.0,737251.0,Neville Chemical Company,Chlorobenzene,0.0,0,1,0,0,1,40.503449,-80.099378
56,2010.0,737251.0,Neville Chemical Company,Formaldehyde,0.0,0,1,0,0,1,40.503449,-80.099378
57,2010.0,737251.0,Neville Chemical Company,Hexane,0.26,0,1,0,0,1,40.503449,-80.099378
58,2010.0,737251.0,Neville Chemical Company,Naphthalene,0.45,0,1,0,0,1,40.503449,-80.099378
59,2010.0,737251.0,Neville Chemical Company,Nitrogen Oxides,14.01,0,0,1,0,1,40.503449,-80.099378
60,2010.0,737251.0,Neville Chemical Company,"Particulate Matter < 10 Microns, Filterable",2.7,0,0,1,0,1,40.503449,-80.099378
61,2010.0,737251.0,Neville Chemical Company,"Particulate Matter < 2.5 Microns, Filterable",2.27,0,0,1,0,1,40.503449,-80.099378
62,2010.0,737251.0,Neville Chemical Company,Phenol,0.0,0,1,0,0,1,40.503449,-80.099378
63,2010.0,737251.0,Neville Chemical Company,Styrene,0.8,0,1,0,0,1,40.503449,-80.099378
64,2010.0,737251.0,Neville Chemical Company,Sulfur Oxides,0.17,0,0,1,0,1,40.503449,-80.099378
65,2010.0,737251.0,Neville Chemical Company,Toluene,1.02,0,1,0,0,1,40.503449,-80.099378
66,2010.0,737251.0,Neville Chemical Company,Volatile Organic Compounds,100.89,0,0,1,0,1,40.503449,-80.099378
67,2010.0,737251.0,Neville Chemical Company,Xylenes (Isomers And Mixture),3.54,0,1,0,0,1,40.503449,-80.099378
68,2010.0,737253.0,VERIZON PA/DOWNTOWN 1C BLDG,Carbon Monoxide,0.05,0,0,1,0,0,40.4425,-79.99583
69,2010.0,737253.0,VERIZON PA/DOWNTOWN 1C BLDG,Nitrogen Oxides,0.21,0,0,1,0,0,40.4425,-79.99583
70,2010.0,737253.0,VERIZON PA/DOWNTOWN 1C BLDG,"Particulate Matter < 10 Microns, Filterable",0.01,0,0,1,0,0,40.4425,-79.99583
71,2010.0,737253.0,VERIZON PA/DOWNTOWN 1C BLDG,"Particulate Matter < 2.5 Microns, Filterable",0.01,0,0,1,0,0,40.4425,-79.99583
72,2010.0,737253.0,VERIZON PA/DOWNTOWN 1C BLDG,Sulfur Oxides,0.01,0,0,1,0,0,40.4425,-79.99583
73,2010.0,737253.0,VERIZON PA/DOWNTOWN 1C BLDG,Volatile Organic Compounds,0.01,0,0,1,0,0,40.4425,-79.99583
74,2010.0,737255.0,ASHLAND INC TERM FKA SUNOCO/PLASTICIZER,"Particulate Matter < 10 Microns, Filterable",0.07,0,0,1,0,0,40.495374,-80.080885
75,2010.0,737255.0,ASHLAND INC TERM FKA SUNOCO/PLASTICIZER,"Particulate Matter < 2.5 Microns, Filterable",0.07,0,0,1,0,0,40.495374,-80.080885
76,2010.0,737255.0,ASHLAND INC TERM FKA SUNOCO/PLASTICIZER,Phthalic Anhydride,0.14,0,1,0,0,0,40.495374,-80.080885
77,2010.0,737255.0,ASHLAND INC TERM FKA SUNOCO/PLASTICIZER,Volatile Organic Compounds,0.27,0,0,1,0,0,40.495374,-80.080885
78,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Ammonia,0.0,0,0,1,0,0,40.467778,-79.970556
79,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Carbon Monoxide,0.05,0,0,1,0,0,40.467778,-79.970556
80,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Nitrogen Oxides,0.06,0,0,1,0,0,40.467778,-79.970556
81,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,"Particulate Matter < 10 Microns, Filterable",0.01,0,0,1,0,0,40.467778,-79.970556
82,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,"Particulate Matter < 2.5 Microns, Filterable",0.0,0,0,1,0,0,40.467778,-79.970556
83,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Sulfur Oxides,0.0,0,0,1,0,0,40.467778,-79.970556
84,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Toluene,0.65,0,1,0,0,0,40.467778,-79.970556
85,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Volatile Organic Compounds,6.55,0,0,1,0,0,40.467778,-79.970556
86,2010.0,737257.0,PERROTTE WOOD FINISHING CO/PGH,Xylenes (Isomers And Mixture),0.29,0,1,0,0,0,40.467778,-79.970556
87,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Benzene,0.0,0,1,0,0,0,40.44417,-79.96667
88,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Carbon Monoxide,16.63,0,0,1,0,0,40.44417,-79.96667
89,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Formaldehyde,0.04,0,1,0,0,0,40.44417,-79.96667
90,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Hexane,0.76,0,1,0,0,0,40.44417,-79.96667
91,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Lead,0.0001,0,1,1,0,0,40.44417,-79.96667
92,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Naphthalene,0.0,0,1,0,0,0,40.44417,-79.96667
93,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Nitrogen Oxides,3.5,0,0,1,0,0,40.44417,-79.96667
94,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,"Particulate Matter < 10 Microns, Filterable",0.78,0,0,1,0,0,40.44417,-79.96667
95,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,"Particulate Matter < 2.5 Microns, Filterable",0.78,0,0,1,0,0,40.44417,-79.96667
96,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Sulfur Oxides,0.25,0,0,1,0,0,40.44417,-79.96667
97,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Toluene,0.0,0,1,0,0,0,40.44417,-79.96667
98,2010.0,737258.0,UNIV OF PGH/CARRILLO ST STEAM PLT,Volatile Organic Compounds,2.36,0,0,1,0,0,40.44417,-79.96667
99,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Ammonia,0.56,0,0,1,0,1,40.57333,-80.22278
100,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Benzene,0.0,0,1,0,0,1,40.57333,-80.22278
101,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Cadmium,0.0,0,1,0,0,1,40.57333,-80.22278
102,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Carbon Monoxide,15.2,0,0,1,0,1,40.57333,-80.22278
103,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Chromium,0.0,0,1,0,0,1,40.57333,-80.22278
104,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Formaldehyde,0.01,0,1,0,0,1,40.57333,-80.22278
105,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Hexane,0.09,0,1,0,0,1,40.57333,-80.22278
106,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Lead,0.1428,0,1,1,0,1,40.57333,-80.22278
107,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Methane,0.29,1,0,0,0,1,40.57333,-80.22278
108,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Nickel,0.0,0,1,0,0,1,40.57333,-80.22278
109,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Nitrogen Oxides,18.04,0,0,1,0,1,40.57333,-80.22278
110,2010.0,737259.0,Libertas Copper LLC - Leetsdale,"Particulate Matter < 10 Microns, Filterable",30.42,0,0,1,0,1,40.57333,-80.22278
111,2010.0,737259.0,Libertas Copper LLC - Leetsdale,"Particulate Matter < 2.5 Microns, Filterable",3.53,0,0,1,0,1,40.57333,-80.22278
112,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Sulfur Oxides,0.31,0,0,1,0,1,40.57333,-80.22278
113,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Toluene,0.0,0,1,0,0,1,40.57333,-80.22278
114,2010.0,737259.0,Libertas Copper LLC - Leetsdale,Volatile Organic Compounds,10.45,0,0,1,0,1,40.57333,-80.22278
115,2010.0,737260.0,Calgon Carbon Corporation,Ammonia,160.6,0,0,1,0,1,40.492029,-80.078444
116,2010.0,737260.0,Calgon Carbon Corporation,Carbon Monoxide,1.73,0,0,1,0,1,40.492029,-80.078444
117,2010.0,737260.0,Calgon Carbon Corporation,Chlorine,0.03,0,1,0,0,1,40.492029,-80.078444
118,2010.0,737260.0,Calgon Carbon Corporation,Chromium,0.0,0,1,0,0,1,40.492029,-80.078444
119,2010.0,737260.0,Calgon Carbon Corporation,Hexane,0.02,0,1,0,0,1,40.492029,-80.078444
120,2010.0,737260.0,Calgon Carbon Corporation,Hydrochloric Acid,0.63,0,1,0,0,1,40.492029,-80.078444
121,2010.0,737260.0,Calgon Carbon Corporation,Hydrogen Fluoride (Hydrofluoric Acid),0.0,0,1,0,0,1,40.492029,-80.078444
122,2010.0,737260.0,Calgon Carbon Corporation,Lead,0.0007,0,1,1,0,1,40.492029,-80.078444
123,2010.0,737260.0,Calgon Carbon Corporation,Mercury,0.0001,0,1,0,0,1,40.492029,-80.078444
124,2010.0,737260.0,Calgon Carbon Corporation,Nitrogen Oxides,1.87,0,0,1,0,1,40.492029,-80.078444
125,2010.0,737260.0,Calgon Carbon Corporation,"Particulate Matter < 10 Microns, Filterable",1.25,0,0,1,0,1,40.492029,-80.078444
126,2010.0,737260.0,Calgon Carbon Corporation,"Particulate Matter < 2.5 Microns, Filterable",1.0,0,0,1,0,1,40.492029,-80.078444
127,2010.0,737260.0,Calgon Carbon Corporation,Sulfur Oxides,0.07,0,0,1,0,1,40.492029,-80.078444
128,2010.0,737260.0,Calgon Carbon Corporation,Volatile Organic Compounds,1.29,0,0,1,0,1,40.492029,-80.078444
129,2010.0,737261.0,KOSMOS CEMENT CO/5032,"Particulate Matter < 10 Microns, Filterable",1.66,0,0,1,0,0,40.492217,-80.076132
130,2010.0,737261.0,KOSMOS CEMENT CO/5032,"Particulate Matter < 2.5 Microns, Filterable",1.54,0,0,1,0,0,40.492217,-80.076132
131,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Carbon Monoxide,114.57,0,0,1,0,0,40.455393,-79.990415
132,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Hydrochloric Acid,22.37,0,1,0,0,0,40.455393,-79.990415
133,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Hydrogen Fluoride (Hydrofluoric Acid),2.8,0,1,0,0,0,40.455393,-79.990415
134,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Lead,0.2424,0,1,1,0,0,40.455393,-79.990415
135,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Nitrogen Oxides,137.46,0,0,1,0,0,40.455393,-79.990415
136,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,"Particulate Matter < 10 Microns, Filterable",20.0,0,0,1,0,0,40.455393,-79.990415
137,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,"Particulate Matter < 2.5 Microns, Filterable",20.0,0,0,1,0,0,40.455393,-79.990415
138,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Sulfur Oxides,288.97,0,0,1,0,0,40.455393,-79.990415
139,2010.0,737263.0,RIVERBEND FOODS LLC/PGH,Volatile Organic Compounds,2.18,0,0,1,0,0,40.455393,-79.990415
140,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Benzene,0.66,0,1,0,0,0,40.306794,-79.882844
141,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Carbon Monoxide,8.26,0,0,1,0,0,40.306794,-79.882844
142,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Formaldehyde,0.0,0,1,0,0,0,40.306794,-79.882844
143,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Hexane,0.13,0,1,0,0,0,40.306794,-79.882844
144,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,m-Xylene,0.29,0,1,0,0,0,40.306794,-79.882844
145,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Naphthalene,4.36,0,1,0,0,0,40.306794,-79.882844
146,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Nickel,0.0,0,1,0,0,0,40.306794,-79.882844
147,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Nitrogen Oxides,13.92,0,0,1,0,0,40.306794,-79.882844
148,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,o-Xylene,0.19,0,1,0,0,0,40.306794,-79.882844
149,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,"Particulate Matter < 10 Microns, Filterable",5.34,0,0,1,0,0,40.306794,-79.882844
150,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,"Particulate Matter < 2.5 Microns, Filterable",3.36,0,0,1,0,0,40.306794,-79.882844
151,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Phenol,0.04,0,1,0,0,0,40.306794,-79.882844
152,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Polycyclic Organic Matter,0.01,0,1,0,0,0,40.306794,-79.882844
153,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Styrene,0.17,0,1,0,0,0,40.306794,-79.882844
154,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Sulfur Oxides,0.41,0,0,1,0,0,40.306794,-79.882844
155,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Toluene,0.2,0,1,0,0,0,40.306794,-79.882844
156,2010.0,737264.0,KOPPERS INC/CLAIRTON PLT,Volatile Organic Compounds,11.96,0,0,1,0,0,40.306794,-79.882844
157,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Ammonia,0.04,0,0,1,0,0,40.436111,-79.961389
158,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Benzene,0.0,0,1,0,0,0,40.436111,-79.961389
159,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Carbon Monoxide,6.5,0,0,1,0,0,40.436111,-79.961389
160,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Chromium,0.0,0,1,0,0,0,40.436111,-79.961389
161,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Formaldehyde,0.0,0,1,0,0,0,40.436111,-79.961389
162,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Hexane,0.13,0,1,0,0,0,40.436111,-79.961389
163,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Methane,0.17,1,0,0,0,0,40.436111,-79.961389
164,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Methanol,0.1,0,1,0,0,0,40.436111,-79.961389
165,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Nickel,0.0,0,1,0,0,0,40.436111,-79.961389
166,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Nitrogen Oxides,8.82,0,0,1,0,0,40.436111,-79.961389
167,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,"Particulate Matter < 10 Microns, Filterable",0.24,0,0,1,0,0,40.436111,-79.961389
168,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,"Particulate Matter < 2.5 Microns, Filterable",0.24,0,0,1,0,0,40.436111,-79.961389
169,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Sulfur Oxides,0.14,0,0,1,0,0,40.436111,-79.961389
170,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Toluene,0.0,0,1,0,0,0,40.436111,-79.961389
171,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Volatile Organic Compounds,1.03,0,0,1,0,0,40.436111,-79.961389
172,2010.0,737265.0,UPMC MAGEE HOSP/MED SVC FOR WOMEN,Xylenes (Isomers And Mixture),0.05,0,1,0,0,0,40.436111,-79.961389
173,2010.0,737267.0,Pressure Chemical Company,Carbon Monoxide,0.41,0,0,1,0,1,40.463887,-79.968356
174,2010.0,737267.0,Pressure Chemical Company,Hexane,0.7,0,1,0,0,1,40.463887,-79.968356
175,2010.0,737267.0,Pressure Chemical Company,Methanol,3.3,0,1,0,0,1,40.463887,-79.968356
176,2010.0,737267.0,Pressure Chemical Company,Methylene Chloride (Dichloromethane),0.2,0,1,0,0,1,40.463887,-79.968356
177,2010.0,737267.0,Pressure Chemical Company,Nitrogen Oxides,0.49,0,0,1,0,1,40.463887,-79.968356
178,2010.0,737267.0,Pressure Chemical Company,"Particulate Matter < 10 Microns, Filterable",0.04,0,0,1,0,1,40.463887,-79.968356
179,2010.0,737267.0,Pressure Chemical Company,"Particulate Matter < 2.5 Microns, Filterable",0.04,0,0,1,0,1,40.463887,-79.968356
180,2010.0,737267.0,Pressure Chemical Company,Sulfur Oxides,0.0,0,0,1,0,1,40.463887,-79.968356
181,2010.0,737267.0,Pressure Chemical Company,Toluene,0.35,0,1,0,0,1,40.463887,-79.968356
182,2010.0,737267.0,Pressure Chemical Company,Volatile Organic Compounds,7.27,0,0,1,0,1,40.463887,-79.968356
183,2010.0,737267.0,Pressure Chemical Company,Xylenes (Isomers And Mixture),0.5,0,1,0,0,1,40.463887,-79.968356
184,2010.0,737269.0,ALMATIS INC/NEVILLE GRINDING CTR,Carbon Monoxide,0.19,0,0,1,0,0,40.560625,-80.211088
185,2010.0,737269.0,ALMATIS INC/NEVILLE GRINDING CTR,Nitrogen Oxides,0.88,0,0,1,0,0,40.560625,-80.211088
186,2010.0,737269.0,ALMATIS INC/NEVILLE GRINDING CTR,"Particulate Matter < 10 Microns, Filterable",5.53,0,0,1,0,0,40.560625,-80.211088
187,2010.0,737269.0,ALMATIS INC/NEVILLE GRINDING CTR,"Particulate Matter < 2.5 Microns, Filterable",5.53,0,0,1,0,0,40.560625,-80.211088
188,2010.0,737269.0,ALMATIS INC/NEVILLE GRINDING CTR,Sulfur Oxides,0.06,0,0,1,0,0,40.560625,-80.211088
189,2010.0,737269.0,ALMATIS INC/NEVILLE GRINDING CTR,Volatile Organic Compounds,0.06,0,0,1,0,0,40.560625,-80.211088
190,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Carbon Monoxide,0.11,0,0,1,0,0,40.461154,-80.05617
191,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Formaldehyde,0.0,0,1,0,0,0,40.461154,-80.05617
192,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Hexane,0.0,0,1,0,0,0,40.461154,-80.05617
193,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Methane,0.0,1,0,0,0,0,40.461154,-80.05617
194,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),0.19,0,1,0,0,0,40.461154,-80.05617
195,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,m-Xylene,0.11,0,1,0,0,0,40.461154,-80.05617
196,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Nitrogen Oxides,0.12,0,0,1,0,0,40.461154,-80.05617
197,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,o-Xylene,0.04,0,1,0,0,0,40.461154,-80.05617
198,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,"Particulate Matter < 10 Microns, Filterable",0.41,0,0,1,0,0,40.461154,-80.05617
199,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,"Particulate Matter < 2.5 Microns, Filterable",0.04,0,0,1,0,0,40.461154,-80.05617
200,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Sulfur Oxides,0.0,0,0,1,0,0,40.461154,-80.05617
201,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Toluene,0.07,0,1,0,0,0,40.461154,-80.05617
202,2010.0,737270.0,PRUETT SCHAFFER CHEM CO/PGH,Volatile Organic Compounds,1.36,0,0,1,0,0,40.461154,-80.05617
203,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Ammonia,0.0,0,0,1,0,0,40.498815,-79.854798
204,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Benzene,0.08,0,1,0,0,0,40.498815,-79.854798
205,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Carbon Monoxide,4.12,0,0,1,0,0,40.498815,-79.854798
206,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Formaldehyde,0.0,0,1,0,0,0,40.498815,-79.854798
207,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Hexane,0.03,0,1,0,0,0,40.498815,-79.854798
208,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Methane,0.0,1,0,0,0,0,40.498815,-79.854798
209,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,Nitrogen Oxides,1.73,0,0,1,0,0,40.498815,-79.854798
210,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,"Particulate Matter < 10 Microns, Filterable",0.06,0,0,1,0,0,40.498815,-79.854798
211,2010.0,737271.0,SUN REFINING AND MARKETING/BLAWNOX,"Particulate Matter < 2.5 Microns, Filterable",0.06,0,0,1,0,0,40.498815,-79.854798
